OBJECTID,STREETSEG,WEEKNUMBER,HIGHSPEED_AM_NORUSH,HIGHSPEED_AM_RUSH,HIGHSPEED_EVENING,HIGHSPEED_OVERNIGHT,HIGHSPEED_PM_NORUSH,HIGHSPEED_PM_RUSH,LOWSPEED_AM_NORUSH,LOWSPEED_AM_RUSH,LOWSPEED_EVENING,LOWSPEED_NO_TIME,LOWSPEED_OVERNIGHT,LOWSPEED_PM_NORUSH,LOWSPEED_PM_RUSH,OTHER_PM_NORUSH,UNSAFEDRIVING_AM_NORUSH,UNSAFEDRIVING_AM_RUSH,UNSAFEDRIVING_EVENING,UNSAFEDRIVING_OVERNIGHT,UNSAFEDRIVING_PM_NORUSH,UNSAFEDRIVING_PM_RUSH,UNSAFEOPER_AM_NORUSH,UNSAFEOPER_AM_RUSH,UNSAFEOPER_EVENING,UNSAFEOPER_OVERNIGHT,UNSAFEOPER_PM_NORUSH,UNSAFEOPER_PM_RUSH,UNSAFEVEHICLE_OVERNIGHT,UNSAFEVEHICLE_PM_NORUSH,UNSAFEVEHICLE_PM_RUSH,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,SHAPE_,SHAPELEN
36,2059,1,1,0,0,0,0,0,3,4,2,0,8,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLORIDA,AVE,NW,100,198,,113.626770290427
37,2131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,COLORADO,AVE,NW,4800,4912,,465.079760872294
38,2222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,VERMONT,AVE,NW,1100,1198,,192.546525060879
39,2298,1,4,1,0,0,2,0,55,39,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAYES,ST,NE,3822,3898,,84.5187202053556
40,2303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,H,ST,NW,400,498,,236.639912579862
41,2313,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,AVE,SE,4100,4198,,85.6088675761815
42,2331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,U,ST,NW,1400,1498,,223.874494502124
43,2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3RD,ST,SW,200,298,,168.781248388546
44,2452,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GEORGIA,AVE,NW,4800,4810,,82.1074182004805
45,2623,1,0,0,0,0,0,0,5,2,1,0,9,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MICHIGAN,AVE,NE,100,298,,514.123968535997
46,2690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MARTIN LUTHER KING JR,AVE,SE,3700,3798,,298.795669649436
47,3072,1,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19TH,ST,SE,200,230,,81.963379832577
48,3122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12TH,ST,SE,700,798,,220.734369459463
49,3317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EVARTS,ST,NE,1000,1198,,180.441035706855
50,3428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,NORTH CAPITOL,ST,BN,5234,5298,,21.3201821128402
51,3438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,5,1,0,0,K,ST,NW,1300,1398,,202.017611945445
52,3449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,14TH,ST,NW,2000,2098,,123.730145882136
53,3547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GEORGIA,AVE,NW,5600,5698,,119.10911622629
54,3664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,EAST CAPITOL,ST,BN,6152,6198,,14.4514472778719
55,3774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14TH,ST,NW,1500,1520,,82.0701852702432
56,3797,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16TH,ST,NW,3700,3898,,186.294663547217
57,3829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1ST,ST,NW,1896,1898,,21.9214116059633
58,3929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,NEW YORK,AVE,NW,224,298,,42.3391954612541
59,3950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,H,ST,NW,2,98,,269.867054605974
60,4223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,MILITARY,RD,NW,1400,2598,,1826.66731522791
61,4229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,SOUTH DAKOTA,AVE,NE,2600,2622,,59.9369575448674
62,4361,1,7,5,12,30,13,3,143,34,91,0,215,204,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,K,ST,NW,2100,2498,,577.462344488433
63,4628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FULTON,ST,NW,3614,3698,,102.312820259221
64,4816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13TH,ST,NW,1908,1914,,79.0211767892572
65,4888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BLAIR,RD,NW,6100,6130,,138.359072827531
